test,verdict,time(microseconds)
test5,Accept,28
test6,Accept,31
test7,Accept,38
test8,Accept,48
test9,Accept,53
test10,Accept,62
test11,Accept,81
test12,Accept,75
test13,Accept,171
test14,Accept,133
test15,Accept,161
test16,Accept,211
test17,Accept,168
test18,Accept,291
test19,Accept,315
test20,Accept,294
test21,Accept,395
test22,Accept,459
test23,Accept,594
test24,Accept,489
test25,Accept,548
test26,Accept,692
test27,Accept,859
test28,Accept,777
test29,Accept,944
test30,Accept,1033
test31,Accept,1108
test32,Accept,1250
test33,Accept,1249
test34,Accept,1513
test35,Accept,1519
test36,Accept,1596
test37,Accept,2007
test38,Accept,2079
test39,Accept,2447
test40,Accept,2083
test41,Accept,2082
test42,Accept,2683
test43,Accept,2778
test44,Accept,3040
test45,Accept,3249
test46,Accept,3242
test47,Accept,3838
test48,Accept,3481
test49,Accept,4725
test50,Accept,5161
test51,Accept,4907
test52,Accept,4993
test53,Accept,5819
test54,Accept,5236
test55,Accept,6027
test56,Accept,6727
test57,Accept,5988
test58,Accept,7673
test59,Accept,7876
test60,Accept,7599
test61,Accept,8825
test62,Accept,7668
test63,Accept,9127
test64,Accept,10448
test65,Accept,9279
test66,Accept,11756
test67,Accept,9628
test68,Accept,10866
test69,Accept,9513
test70,Accept,11771
test71,Accept,11044
test72,Accept,14001
test73,Accept,12289
test74,Accept,11436
test75,Accept,14049
test76,Accept,14104
test77,Accept,14640
test78,Accept,16794
test79,Accept,21282
test80,Accept,24023
test81,Accept,16520
test82,Accept,19978
test83,Accept,16574
test84,Accept,20790
test85,Accept,36211
test86,Accept,24182
test87,Accept,22338
test88,Accept,23362
test89,Accept,21847
test90,Accept,23100
test91,Accept,24755
test92,Accept,26618
test93,Accept,26877
test94,Accept,30455
test95,Accept,27334
test96,Accept,28475
test97,Accept,27965
test98,Accept,29441
test99,Accept,31876
test100,Accept,39901
test101,Accept,34506
test102,Accept,37936
test103,Accept,35505
test104,Accept,36611
test105,Accept,37102
test106,Accept,47244
test107,Accept,45656
test108,Accept,45970
test109,Accept,74590
test110,Accept,43599
test111,Accept,45935
test112,Accept,53018
test113,Accept,47162
test114,Accept,45837
test115,Accept,50713
test116,Accept,52420
test117,Accept,64123
test118,Accept,58234
test119,Accept,66595
test120,Accept,61343
test121,Accept,66439
test122,Accept,61621
test123,Accept,64626
test124,Accept,65511
test125,Accept,62987
test126,Accept,66675
test127,Accept,72505
test128,Accept,70847
test129,Accept,79822
test130,Accept,77447
test131,Accept,87209
test132,Accept,74075
test133,Accept,83656
test134,Accept,82020
test135,Accept,76547
test136,Accept,94317
test137,Accept,83859
test138,Accept,104557
test139,Accept,104600
test140,Accept,103595
test141,Accept,87731
test142,Accept,110067
test143,Accept,99438
test144,Accept,106979
test145,Accept,109752
test146,Accept,109426
test147,Accept,95453
test148,Accept,113224
test149,Accept,110623
test150,Accept,103325
test151,Accept,126349
test152,Accept,113814
test153,Accept,141103
test154,Accept,130090
test155,Accept,144254
test156,Accept,123010
test157,Accept,149480
test158,Accept,141582
test159,Accept,142260
test160,Accept,160917
test161,Accept,130258
test162,Accept,136383
test163,Accept,160209
test164,Accept,142390
test165,Accept,155303
test166,Accept,149056
test167,Accept,142456
test168,Accept,153669
test169,Accept,157056
test170,Accept,148462
test171,Accept,172872
test172,Accept,172699
test173,Accept,168681
test174,Accept,173374
test175,Accept,162682
test176,Accept,186904
test177,Accept,186521
test178,Accept,181240
test179,Accept,178002
test180,Accept,190434
test181,Accept,196123
test182,Accept,193357
test183,Accept,198689
test184,Accept,191612
test185,Accept,196781
test186,Accept,195815
test187,Accept,215743
test188,Accept,219812
test189,Accept,216073
test190,Accept,220990
test191,Accept,230581
test192,Accept,227248
test193,Accept,250638
test194,Accept,227981
test195,Accept,244608
test196,Accept,252594
test197,Accept,242232
test198,Accept,257801
test199,Accept,272183
test200,Accept,283510
test201,Accept,264034
test202,Accept,285965
test203,Accept,281740
test204,Accept,280060
test205,Accept,271572
test206,Accept,309573
test207,Accept,325784
test208,Accept,312548
test209,Accept,453455
test210,Accept,496271
test211,Accept,437657
test212,Accept,481732
test213,Accept,478208
test214,Accept,511162
test215,Accept,340851
test216,Accept,355271
test217,Accept,340031
test218,Accept,346298
test219,Accept,357440
test220,Accept,341783
test221,Accept,371902
test222,Accept,360637
test223,Accept,362924
test224,Accept,383395
test225,Accept,398608
test226,Accept,393528
test227,Accept,380700
test228,Accept,378039
test229,Accept,401212
test230,Accept,397604
test231,Accept,440024
test232,Accept,413793
test233,Accept,441746
test234,Accept,450776
test235,Accept,451929
test236,Accept,439094
test237,Accept,470299
test238,Accept,433152
test239,Accept,456525
test240,Accept,423493
test241,Accept,462649
test242,Accept,455754
test243,Accept,476708
test244,Accept,479796
test245,Accept,493540
test246,Accept,481408
test247,Accept,495099
test248,Accept,534850
test249,Accept,517822
test250,Accept,522188
test251,Accept,530353
test252,Accept,508701
test253,Accept,536700
test254,Accept,568688
test255,Accept,542891
test256,Accept,559186
test257,Accept,551041
test258,Accept,577832
test259,Accept,565639
test260,Accept,599709
test261,Accept,598466
